f1,f2,f3,f4,f5,f6,f7,Total age,Size,Index,Family
,,,,,,,0,0,1,      
1,,,,,,,1,1,2,1      
2,,,,,,,2,1,3,2      
3,,,,,,,3,1,4,3      
1,3,,,,,,4,2,5,1 3     
4,,,,,,,4,1,6,4      
1,4,,,,,,5,2,7,1 4     
2,4,,,,,,6,2,8,2 4     
5,,,,,,,5,1,9,5      
1,5,,,,,,6,2,10,1 5     
2,5,,,,,,7,2,11,2 5     
3,5,,,,,,8,2,12,3 5     
1,3,5,,,,,9,3,13,1 3 5    
6,,,,,,,6,1,14,6      
1,6,,,,,,7,2,15,1 6     
2,6,,,,,,8,2,16,2 6     
3,6,,,,,,9,2,17,3 6     
1,3,6,,,,,10,3,18,1 3 6    
4,6,,,,,,10,2,19,4 6     
1,4,6,,,,,11,3,20,1 4 6    
2,4,6,,,,,12,3,21,2 4 6    
7,,,,,,,7,1,22,7      
1,7,,,,,,8,2,23,1 7     
2,7,,,,,,9,2,24,2 7     
3,7,,,,,,10,2,25,3 7     
1,3,7,,,,,11,3,26,1 3 7    
4,7,,,,,,11,2,27,4 7     
1,4,7,,,,,12,3,28,1 4 7    
2,4,7,,,,,13,3,29,2 4 7    
5,7,,,,,,12,2,30,5 7     
1,5,7,,,,,13,3,31,1 5 7    
2,5,7,,,,,14,3,32,2 5 7    
3,5,7,,,,,15,3,33,3 5 7    
1,3,5,7,,,,16,4,34,1 3 5 7   
8,,,,,,,8,1,35,8      
1,8,,,,,,9,2,36,1 8     
2,8,,,,,,10,2,37,2 8     
3,8,,,,,,11,2,38,3 8     
1,3,8,,,,,12,3,39,1 3 8    
4,8,,,,,,12,2,40,4 8     
1,4,8,,,,,13,3,41,1 4 8    
2,4,8,,,,,14,3,42,2 4 8    
5,8,,,,,,13,2,43,5 8     
1,5,8,,,,,14,3,44,1 5 8    
2,5,8,,,,,15,3,45,2 5 8    
3,5,8,,,,,16,3,46,3 5 8    
1,3,5,8,,,,17,4,47,1 3 5 8   
6,8,,,,,,14,2,48,6 8     
1,6,8,,,,,15,3,49,1 6 8    
2,6,8,,,,,16,3,50,2 6 8    
3,6,8,,,,,17,3,51,3 6 8    
1,3,6,8,,,,18,4,52,1 3 6 8   
4,6,8,,,,,18,3,53,4 6 8    
1,4,6,8,,,,19,4,54,1 4 6 8   
2,4,6,8,,,,20,4,55,2 4 6 8   
9,,,,,,,9,1,56,9      
1,9,,,,,,10,2,57,1 9     
2,9,,,,,,11,2,58,2 9     
3,9,,,,,,12,2,59,3 9     
1,3,9,,,,,13,3,60,1 3 9    
4,9,,,,,,13,2,61,4 9     
1,4,9,,,,,14,3,62,1 4 9    
2,4,9,,,,,15,3,63,2 4 9    
5,9,,,,,,14,2,64,5 9     
1,5,9,,,,,15,3,65,1 5 9    
2,5,9,,,,,16,3,66,2 5 9    
3,5,9,,,,,17,3,67,3 5 9    
1,3,5,9,,,,18,4,68,1 3 5 9   
6,9,,,,,,15,2,69,6 9     
1,6,9,,,,,16,3,70,1 6 9    
2,6,9,,,,,17,3,71,2 6 9    
3,6,9,,,,,18,3,72,3 6 9    
1,3,6,9,,,,19,4,73,1 3 6 9   
4,6,9,,,,,19,3,74,4 6 9    
1,4,6,9,,,,20,4,75,1 4 6 9   
2,4,6,9,,,,21,4,76,2 4 6 9   
7,9,,,,,,16,2,77,7 9     
1,7,9,,,,,17,3,78,1 7 9    
2,7,9,,,,,18,3,79,2 7 9    
3,7,9,,,,,19,3,80,3 7 9    
1,3,7,9,,,,20,4,81,1 3 7 9   
