age,Ache,Gambia,Sweden,Taiwan,Tsimane
0,0.114366861,0.0816,0.287475319,0.23737,0.15159176
1,0.068395118,0.03120824,0.000476232,0.057867478,0.036153281
2,0.045818775,0.016598222,0.000477256,0.020728389,0.022407558
3,0.034731719,0.012390637,0.000478407,0.013102302,0.020770799
4,0.029286957,0.011209743,0.000479699,0.011599622,0.020575904
5,0.026613081,0.010912224,0.000481151,0.011373036,0.020552697
6,0.025299962,0.010875493,0.00048278,0.01141847,0.020549934
7,0.024655102,0.010918968,0.000484611,0.011528481,0.020549605
8,0.024338417,0.010990558,0.000486666,0.011660803,0.020549565
9,0.024182897,0.011075549,0.000488974,0.011807464,0.020549561
10,0.024106525,0.011170129,0.000491566,0.011967676,0.02054956
11,0.024069021,0.011273696,0.000494477,0.012142213,0.02054956
12,0.024050607,0.011386623,0.000497746,0.012332258,0.02054956
13,0.024041568,0.01150962,0.000501417,0.012539168,0.02054956
14,0.024037135,0.011643543,0.000505539,0.012764435,0.02054956
15,0.024034966,0.011789351,0.000510169,0.013009688,0.02054956
16,0.02403391,0.011948097,0.000515367,0.013276699,0.020549561
17,0.024033404,0.012120926,0.000521206,0.013567398,0.020549561
18,0.024033173,0.012309088,0.000527762,0.013883887,0.020549561
19,0.024033081,0.012513944,0.000535125,0.014228454,0.020549562
20,0.024033065,0.012736974,0.000543393,0.01460359,0.020549562
21,0.024033095,0.01297979,0.000552679,0.015012007,0.020549563
22,0.024033159,0.013244148,0.000563106,0.015456657,0.020549564
23,0.024033256,0.01353196,0.000574816,0.015940756,0.020549566
24,0.024033389,0.013845305,0.000587966,0.016467802,0.020549568
25,0.024033566,0.014186449,0.000602734,0.017041607,0.020549571
26,0.024033799,0.014557858,0.000619318,0.017666317,0.020549575
27,0.024034106,0.014962218,0.000637942,0.018346451,0.020549581
28,0.024034508,0.015402451,0.000658856,0.019086923,0.020549589
29,0.024035035,0.015881741,0.000682343,0.019893088,0.020549601
30,0.024035726,0.016403552,0.000708719,0.020770774,0.020549616
31,0.024036632,0.016971656,0.000738338,0.021726326,0.020549638
32,0.02403782,0.017590161,0.000771601,0.022766651,0.020549668
33,0.024039376,0.018263538,0.000808955,0.023899271,0.02054971
34,0.024041416,0.018996655,0.000850904,0.025132373,0.020549767
35,0.024044089,0.019794812,0.000898011,0.026474873,0.020549847
36,0.024047594,0.020663779,0.000950913,0.027936476,0.020549957
37,0.024052187,0.021609838,0.001010322,0.029527747,0.02055011
38,0.024058207,0.022639828,0.001077038,0.031260192,0.020550321
39,0.024066097,0.023761197,0.001151959,0.033146333,0.020550614
40,0.024076438,0.02498205,0.001236096,0.035199808,0.020551019
41,0.024089993,0.026311214,0.00133058,0.037435461,0.02055158
42,0.024107759,0.027758297,0.001436687,0.039869455,0.020552357
43,0.024131044,0.029333761,0.001555843,0.042519385,0.020553432
44,0.024161563,0.031048995,0.001689656,0.04540441,0.020554921
45,0.024201563,0.0329164,0.001839927,0.048545385,0.020556982
46,0.024253992,0.034949476,0.00200868,0.051965019,0.020559836
47,0.024322708,0.03716292,0.00219819,0.055688032,0.020563786
48,0.024412774,0.039572735,0.002411008,0.05974134,0.020569256
49,0.02453082,0.042196341,0.002650003,0.064154246,0.020576829
50,0.024685542,0.045052706,0.002918392,0.068958652,0.020587314
51,0.024888332,0.048162479,0.003219793,0.07418929,0.02060183
52,0.025154125,0.051548143,0.003558264,0.079883976,0.020621928
53,0.025502495,0.055234172,0.003938366,0.086083877,0.020649752
54,0.025959096,0.059247215,0.004365219,0.092833816,0.020688275
55,0.026557553,0.063616284,0.004844574,0.100182589,0.020741609
56,0.027341938,0.068372963,0.005382886,0.108183324,0.02081545
